,event_id,station,components,time,duration,amplitude,energy,signal_type
85,20180101T055516Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T05:55:16.763392Z,15.94,675.338614979,946669.276437,amplitude
86,20180101T055711Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T05:57:11.903392Z,24.78,517.017844186,1271874.53226,amplitude
87,20180101T055854Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T05:58:54.623392Z,200.74,991.816252265,14642659.3466,amplitude
88,20180101T060607Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T06:06:07.423392Z,14.2,675.648485576,971657.283184,amplitude
89,20180101T061425Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T06:14:25.483392Z,13.28,655.429149129,1545565.32538,amplitude
90,20180101T061556Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T06:15:56.283392Z,19.04,629.732827532,871307.160701,amplitude
91,20180101T061842Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T06:18:42.903392Z,6.96,410.830373835,201741.454325,amplitude
92,20180101T062634Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T06:26:34.083392Z,19.88,875.551919122,1594109.94509,amplitude
93,20180101T062945Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T06:29:45.983392Z,25.88,533.599433535,1000001.68573,amplitude
94,20180101T063532Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T06:35:32.403392Z,14.76,501.424631871,526384.809992,amplitude
95,20180101T063829Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T06:38:29.583392Z,10.0,539.335806762,444577.278895,amplitude
96,20180101T064116Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T06:41:16.803392Z,9.5,446.761007291,416726.855242,amplitude
97,20180101T064455Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T06:44:55.363392Z,74.26,727.540903216,6379594.9046,amplitude
98,20180101T064821Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T06:48:21.803392Z,39.5,666.370631171,3412248.15307,amplitude
99,20180101T065149Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T06:51:49.063392Z,12.72,491.554264092,631216.326045,amplitude
100,20180101T065357Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T06:53:57.043392Z,6.92,520.739780346,323231.814603,amplitude
101,20180101T065525Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T06:55:25.923392Z,18.44,450.722000992,596829.110937,amplitude
102,20180101T070150Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T07:01:50.003392Z,77.08,808.887874368,5221833.81221,amplitude
103,20180101T071156Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T07:11:56.423392Z,18.38,624.801724652,1607637.99643,amplitude
104,20180101T071405Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T07:14:05.083392Z,11.7,650.745621657,705473.824566,amplitude
105,20180101T071634Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T07:16:34.463392Z,9.06,423.19234782,281402.329851,amplitude
106,20180101T071818Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T07:18:18.663392Z,6.82,445.419995123,190780.203267,amplitude
107,20180101T072254Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T07:22:54.343392Z,14.94,548.486073373,607153.223291,amplitude
108,20180101T072734Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T07:27:34.363392Z,61.06,644.713034971,3297433.10989,amplitude
109,20180101T072938Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T07:29:38.443392Z,23.4,710.188257576,1034991.59792,amplitude
110,20180101T073353Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T07:33:53.143392Z,10.8,638.531236377,564283.432466,amplitude
111,20180101T073612Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T07:36:12.083392Z,81.28,800.374957535,8837077.82564,amplitude
112,20180101T074038Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T07:40:38.803392Z,27.84,580.715335692,1528624.89362,amplitude
113,20180101T074816Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T07:48:16.603392Z,6.6,414.048485196,408254.4992,amplitude
114,20180101T075039Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T07:50:39.083392Z,4.14,496.114218537,153406.059417,amplitude
115,20180101T075151Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T07:51:51.543392Z,30.56,735.937089723,2535095.61647,amplitude
116,20180101T075422Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T07:54:22.243392Z,19.8,634.269371535,1359551.00769,amplitude
117,20180101T075631Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T07:56:31.383392Z,58.9,713.799022626,3371553.19959,amplitude
118,20180101T075834Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T07:58:34.103392Z,9.76,581.589002261,628298.127364,amplitude
119,20180101T080729Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T08:07:29.863392Z,7.8,483.284270441,387393.473644,amplitude
120,20180101T081113Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T08:11:13.223392Z,16.34,835.104247425,1558119.46579,amplitude
121,20180101T081502Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T08:15:02.623392Z,13.96,588.163107099,687936.094258,amplitude
122,20180101T081821Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T08:18:21.363392Z,7.94,594.844951888,190039.285681,amplitude
123,20180101T082054Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T08:20:54.243392Z,151.22,817.893508039,11309706.8188,amplitude
124,20180101T083024Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T08:30:24.303392Z,23.86,467.256009299,956162.878569,amplitude
125,20180101T083553Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T08:35:53.563392Z,25.94,517.729297691,1310956.56544,amplitude
126,20180101T083757Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T08:37:57.663392Z,92.72,613.311996598,4951085.77042,amplitude
127,20180101T084427Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T08:44:27.203392Z,8.78,624.154209806,731146.913983,amplitude
128,20180101T085013Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T08:50:13.663392Z,8.22,439.975677466,478457.25225,amplitude
129,20180101T085254Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T08:52:54.803392Z,17.64,604.259180222,529945.689595,amplitude
130,20180101T085758Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T08:57:58.223392Z,9.94,576.603431629,518147.367019,amplitude
131,20180101T090135Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T09:01:35.703392Z,13.46,490.106482631,579072.359906,amplitude
132,20180101T090327Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T09:03:27.323392Z,81.12,680.814565008,4473229.26839,amplitude
133,20180101T090920Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T09:09:20.063392Z,9.52,467.91879794,446505.131901,amplitude
134,20180101T091150Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T09:11:50.743392Z,4.12,464.749687868,247698.909317,amplitude
135,20180101T091434Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T09:14:34.303392Z,36.98,667.328611835,1706221.42181,amplitude
136,20180101T092117Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T09:21:17.643392Z,52.6,1019.01712219,6099707.60536,amplitude
137,20180101T092337Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T09:23:37.583392Z,56.08,733.830739331,4721898.68889,amplitude
138,20180101T093045Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T09:30:45.983392Z,12.62,684.538449816,882526.394278,amplitude
139,20180101T093526Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T09:35:26.963392Z,10.72,443.865836682,332986.447675,amplitude
140,20180101T093832Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T09:38:32.323392Z,4.0,416.642038419,124400.698926,amplitude
141,20180101T094645Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T09:46:45.683392Z,21.24,1196.5702186,1438724.46213,amplitude
142,20180101T094838Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T09:48:38.003392Z,48.6,691.626297304,3915082.38836,amplitude
143,20180101T095052Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T09:50:52.183392Z,10.6,552.391676023,410804.31874,amplitude
144,20180101T095302Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T09:53:02.983392Z,6.54,462.380824767,224718.950964,amplitude
145,20180101T095813Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T09:58:13.763392Z,8.78,529.826463721,393687.524398,amplitude
146,20180101T095926Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T09:59:26.963392Z,95.16,635.482973617,5496357.42913,amplitude
147,20180101T100212Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T10:02:12.883392Z,88.76,888.484161809,7905844.21695,amplitude
148,20180101T100625Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T10:06:25.063392Z,16.1,618.260997737,680614.282755,amplitude
