,event_id,stations,network_time,ref_time,ref_duration,ref_amplitude,ref_energy,signal_type
123,20180101T082054Z,['DK.ILULI.'],0.0,2018-01-01T08:20:54.243392Z,151.22,1446.89254869,73002792.6611,amplitude
124,20180101T083024Z,['DK.ILULI.'],0.0,2018-01-01T08:30:24.303392Z,23.86,1317.06554571,18176029.5176,amplitude
125,20180101T083553Z,['DK.ILULI.'],0.0,2018-01-01T08:35:53.563392Z,25.94,1241.28698592,17433926.1985,amplitude
126,20180101T083757Z,['DK.ILULI.'],0.0,2018-01-01T08:37:57.663392Z,92.72,1318.12276103,43460253.5777,amplitude
127,20180101T084427Z,['DK.ILULI.'],0.0,2018-01-01T08:44:27.203392Z,8.78,1336.25196118,6211530.14686,amplitude
128,20180101T085013Z,['DK.ILULI.'],0.0,2018-01-01T08:50:13.663392Z,8.22,1139.6379418,5604063.65971,amplitude
129,20180101T085254Z,['DK.ILULI.'],0.0,2018-01-01T08:52:54.803392Z,17.64,1239.16661106,11059584.0831,amplitude
130,20180101T085758Z,['DK.ILULI.'],0.0,2018-01-01T08:57:58.223392Z,9.94,1176.69550185,6232791.89149,amplitude
131,20180101T090135Z,['DK.ILULI.'],0.0,2018-01-01T09:01:35.703392Z,13.46,1160.27571595,9846751.66493,amplitude
132,20180101T090327Z,['DK.ILULI.'],0.0,2018-01-01T09:03:27.323392Z,81.12,1292.49848096,47365439.9298,amplitude
133,20180101T090920Z,['DK.ILULI.'],0.0,2018-01-01T09:09:20.063392Z,9.52,1213.74875222,6154067.16017,amplitude
134,20180101T091150Z,['DK.ILULI.'],0.0,2018-01-01T09:11:50.743392Z,4.12,1195.59637667,2205778.77894,amplitude
135,20180101T091434Z,['DK.ILULI.'],0.0,2018-01-01T09:14:34.303392Z,36.98,1203.61073794,20040855.1662,amplitude
136,20180101T092117Z,['DK.ILULI.'],0.0,2018-01-01T09:21:17.643392Z,52.6,1872.71897145,42648309.8529,amplitude
137,20180101T092337Z,['DK.ILULI.'],0.0,2018-01-01T09:23:37.583392Z,56.08,1413.41793162,40109719.8267,amplitude
138,20180101T093045Z,['DK.ILULI.'],0.0,2018-01-01T09:30:45.983392Z,12.62,1692.43011263,11895708.7674,amplitude
139,20180101T093526Z,['DK.ILULI.'],0.0,2018-01-01T09:35:26.963392Z,10.72,1232.82132852,6103986.02279,amplitude
140,20180101T093832Z,['DK.ILULI.'],0.0,2018-01-01T09:38:32.323392Z,4.0,1258.85793508,1974377.29114,amplitude
141,20180101T094645Z,['DK.ILULI.'],0.0,2018-01-01T09:46:45.683392Z,21.24,2037.81808461,13467570.1728,amplitude
142,20180101T094838Z,['DK.ILULI.'],0.0,2018-01-01T09:48:38.003392Z,48.6,1329.85586023,24198968.7114,amplitude
143,20180101T095052Z,['DK.ILULI.'],0.0,2018-01-01T09:50:52.183392Z,10.6,1189.2422782,6789575.33574,amplitude
144,20180101T095302Z,['DK.ILULI.'],0.0,2018-01-01T09:53:02.983392Z,6.54,1175.6019532,3575876.2525,amplitude
145,20180101T095813Z,['DK.ILULI.'],0.0,2018-01-01T09:58:13.763392Z,8.78,1248.17853013,6112170.461,amplitude
146,20180101T095926Z,['DK.ILULI.'],0.0,2018-01-01T09:59:26.963392Z,95.16,1354.92981486,50929472.0516,amplitude
147,20180101T100212Z,['DK.ILULI.'],0.0,2018-01-01T10:02:12.883392Z,88.76,1510.8418899,44905191.1191,amplitude
148,20180101T100625Z,['DK.ILULI.'],0.0,2018-01-01T10:06:25.063392Z,16.1,1399.64710765,9553816.76186,amplitude
149,20180101T100808Z,['DK.ILULI.'],0.0,2018-01-01T10:08:08.583392Z,24.44,1238.78365068,19651354.8341,amplitude
150,20180101T101250Z,['DK.ILULI.'],0.0,2018-01-01T10:12:50.343392Z,3.76,1284.73727205,1341943.75598,amplitude
151,20180101T101511Z,['DK.ILULI.'],0.0,2018-01-01T10:15:11.783392Z,69.92,1327.37677597,32849511.889,amplitude
